"Kommunale budgetter (1000 kr.) efter prisenhed, art, dranst,"
"hovedkonto, kommune og tid"

" ";" ";" ";" ";" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Pr. indbygger, løbende priser (kr.)"
" ";"I alt (netto)"
" ";" ";"1 Driftskonti"
" ";" ";" ";"I alt hovedkonto 0-6"
" ";" ";" ";" ";"Frederikshavn";65555;69622;70455;67198;66396;68714;67836;69605
" ";" ";" ";" ";"Hjørring";64585;68513;69498;67084;66416;67249;66765;67670
" ";" ";" ";" ";"Jammerbugt";63037;64385;63434;64326;64367;65730;65606;66441
" ";" ";" ";" ";"Læsø";78913;83541;89656;89040;84127;87141;94683;98755
" ";" ";" ";" ";"Mariagerfjord";61401;64077;65147;62556;63404;63151;64472;65173
" ";" ";" ";" ";"Morsø";68307;71387;73958;70435;69220;70653;72055;72905
" ";" ";" ";" ";"Rebild";53703;56181;58870;56499;57164;58644;59259;58991
" ";" ";" ";" ";"Thisted";62394;65742;64058;63819;64297;66260;66768;67331
" ";" ";" ";" ";"Vesthimmerlands";65953;69191;66496;65586;64617;66047;66827;67192
" ";" ";" ";" ";"Aalborg";62758;65523;61530;60343;60157;61537;62150;61812

