EJER;BILSEG;ENHED;TID;INDHOLD
I alt;Small MPV;Gennemsnitlig købspris (kr.);2004M05;214321,0
I alt;Small MPV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I alt;Small MPV;Gennemsnitlig km pr liter (liter);2004M05;14,7
I alt;Small MPV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I alt;Large MPV;Ny registrerede biler (antal);2004M05;298,0
I alt;Large MPV;Købspris (mio. kr);2004M05;103,5
I alt;Large MPV;Gennemsnitlig købspris (kr.);2004M05;347152,0
I alt;Large MPV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I alt;Large MPV;Gennemsnitlig km pr liter (liter);2004M05;12,9
I alt;Large MPV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;I alt;Ny registrerede biler (antal);2004M05;6354,0
I husholdningerne;I alt;Købspris (mio. kr);2004M05;1425,4
I husholdningerne;I alt;Gennemsnitlig købspris (kr.);2004M05;224327,0
I husholdningerne;I alt;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;I alt;Gennemsnitlig km pr liter (liter);2004M05;15,7
I husholdningerne;I alt;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Mini;Ny registrerede biler (antal);2004M05;706,0
I husholdningerne;Mini;Købspris (mio. kr);2004M05;82,3
I husholdningerne;Mini;Gennemsnitlig købspris (kr.);2004M05;116519,0
I husholdningerne;Mini;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Mini;Gennemsnitlig km pr liter (liter);2004M05;20,2
I husholdningerne;Mini;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Small SUV;Ny registrerede biler (antal);2004M05;119,0
I husholdningerne;Small SUV;Købspris (mio. kr);2004M05;27,6
I husholdningerne;Small SUV;Gennemsnitlig købspris (kr.);2004M05;231933,0
I husholdningerne;Small SUV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Small SUV;Gennemsnitlig km pr liter (liter);2004M05;11,8
I husholdningerne;Small SUV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Medium SUV;Ny registrerede biler (antal);2004M05;20,0
I husholdningerne;Medium SUV;Købspris (mio. kr);2004M05;7,6
I husholdningerne;Medium SUV;Gennemsnitlig købspris (kr.);2004M05;379870,0
I husholdningerne;Medium SUV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Medium SUV;Gennemsnitlig km pr liter (liter);2004M05;11,2
I husholdningerne;Medium SUV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Large SUV;Ny registrerede biler (antal);2004M05;24,0
I husholdningerne;Large SUV;Købspris (mio. kr);2004M05;13,4
I husholdningerne;Large SUV;Gennemsnitlig købspris (kr.);2004M05;559728,0
I husholdningerne;Large SUV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Large SUV;Gennemsnitlig km pr liter (liter);2004M05;10,3
I husholdningerne;Large SUV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Ny registrerede biler (antal);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Købspris (mio. kr);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2004M05;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Uoplyst;Ny registrerede biler (antal);2004M05;135,0
I husholdningerne;Uoplyst;Købspris (mio. kr);2004M05;79,4
I husholdningerne;Uoplyst;Gennemsnitlig købspris (kr.);2004M05;588105,0
I husholdningerne;Uoplyst;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Uoplyst;Gennemsnitlig km pr liter (liter);2004M05;11,3
I husholdningerne;Uoplyst;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Small;Ny registrerede biler (antal);2004M05;1871,0
I husholdningerne;Small;Købspris (mio. kr);2004M05;300,5
I husholdningerne;Small;Gennemsnitlig købspris (kr.);2004M05;160590,0
I husholdningerne;Small;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Small;Gennemsnitlig km pr liter (liter);2004M05;16,9
I husholdningerne;Small;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Medium;Ny registrerede biler (antal);2004M05;1685,0
I husholdningerne;Medium;Købspris (mio. kr);2004M05;403,6
I husholdningerne;Medium;Gennemsnitlig købspris (kr.);2004M05;239502,0
I husholdningerne;Medium;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Medium;Gennemsnitlig km pr liter (liter);2004M05;15,0
I husholdningerne;Medium;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Large;Ny registrerede biler (antal);2004M05;836,0
I husholdningerne;Large;Købspris (mio. kr);2004M05;245,4
I husholdningerne;Large;Gennemsnitlig købspris (kr.);2004M05;293508,0
I husholdningerne;Large;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Large;Gennemsnitlig km pr liter (liter);2004M05;13,5
I husholdningerne;Large;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Executive;Ny registrerede biler (antal);2004M05;85,0
I husholdningerne;Executive;Købspris (mio. kr);2004M05;49,3
I husholdningerne;Executive;Gennemsnitlig købspris (kr.);2004M05;579447,0
I husholdningerne;Executive;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Executive;Gennemsnitlig km pr liter (liter);2004M05;12,2
I husholdningerne;Executive;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Luxury;Ny registrerede biler (antal);2004M05;5,0
I husholdningerne;Luxury;Købspris (mio. kr);2004M05;11,0
I husholdningerne;Luxury;Gennemsnitlig købspris (kr.);2004M05;2204288,0
I husholdningerne;Luxury;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Luxury;Gennemsnitlig km pr liter (liter);2004M05;10,8
I husholdningerne;Luxury;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Sport;Ny registrerede biler (antal);2004M05;8,0
I husholdningerne;Sport;Købspris (mio. kr);2004M05;7,8
I husholdningerne;Sport;Gennemsnitlig købspris (kr.);2004M05;978108,0
I husholdningerne;Sport;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Sport;Gennemsnitlig km pr liter (liter);2004M05;9,2
I husholdningerne;Sport;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Small MPV;Ny registrerede biler (antal);2004M05;727,0
I husholdningerne;Small MPV;Købspris (mio. kr);2004M05;149,7
I husholdningerne;Small MPV;Gennemsnitlig købspris (kr.);2004M05;205892,0
I husholdningerne;Small MPV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Small MPV;Gennemsnitlig km pr liter (liter);2004M05;14,8
I husholdningerne;Small MPV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I husholdningerne;Large MPV;Ny registrerede biler (antal);2004M05;133,0
I husholdningerne;Large MPV;Købspris (mio. kr);2004M05;47,9
I husholdningerne;Large MPV;Gennemsnitlig købspris (kr.);2004M05;360184,0
I husholdningerne;Large MPV;Gennemsnitlig motoreffekt (kW);2004M05;0,0
I husholdningerne;Large MPV;Gennemsnitlig km pr liter (liter);2004M05;13,2
I husholdningerne;Large MPV;Gennemsnitlig slagvolumen (cm3);2004M05;0,0
I erhvervene;I alt;Ny registrerede biler (antal);2004M05;3688,0
I erhvervene;I alt;Købspris (mio. kr);2004M05;1014,1
I erhvervene;I alt;Gennemsnitlig købspris (kr.);2004M05;274977,0
I husholdningerne;Medium SUV;Købspris (mio. kr);2005M12;13,5
I husholdningerne;Medium SUV;Gennemsnitlig købspris (kr.);2005M12;376342,0
I husholdningerne;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M12;114,0
I husholdningerne;Medium SUV;Gennemsnitlig km pr liter (liter);2005M12;11,2
I husholdningerne;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M12;2237,0
I husholdningerne;Large SUV;Ny registrerede biler (antal);2005M12;48,0
I husholdningerne;Large SUV;Købspris (mio. kr);2005M12;31,0
I husholdningerne;Large SUV;Gennemsnitlig købspris (kr.);2005M12;646279,0
I husholdningerne;Large SUV;Gennemsnitlig motoreffekt (kW);2005M12;115,0
I husholdningerne;Large SUV;Gennemsnitlig km pr liter (liter);2005M12;10,9
I husholdningerne;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M12;2597,0
I husholdningerne;Andre bilsegmenter;Ny registrerede biler (antal);2005M12;0,0
I husholdningerne;Andre bilsegmenter;Købspris (mio. kr);2005M12;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M12;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M12;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M12;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M12;0,0
I husholdningerne;Uoplyst;Ny registrerede biler (antal);2005M12;137,0
I husholdningerne;Uoplyst;Købspris (mio. kr);2005M12;82,8
I husholdningerne;Uoplyst;Gennemsnitlig købspris (kr.);2005M12;604469,0
I husholdningerne;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M12;88,0
I husholdningerne;Uoplyst;Gennemsnitlig km pr liter (liter);2005M12;10,3
I husholdningerne;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M12;2388,0
I husholdningerne;Small;Ny registrerede biler (antal);2005M12;1549,0
I husholdningerne;Small;Købspris (mio. kr);2005M12;231,1
I husholdningerne;Small;Gennemsnitlig købspris (kr.);2005M12;149165,0
I husholdningerne;Small;Gennemsnitlig motoreffekt (kW);2005M12;61,0
I husholdningerne;Small;Gennemsnitlig km pr liter (liter);2005M12;17,0
I husholdningerne;Small;Gennemsnitlig slagvolumen (cm3);2005M12;1359,0
I husholdningerne;Medium;Ny registrerede biler (antal);2005M12;973,0
I husholdningerne;Medium;Købspris (mio. kr);2005M12;244,0
I husholdningerne;Medium;Gennemsnitlig købspris (kr.);2005M12;250805,0
I husholdningerne;Medium;Gennemsnitlig motoreffekt (kW);2005M12;82,0
I husholdningerne;Medium;Gennemsnitlig km pr liter (liter);2005M12;15,7
I husholdningerne;Medium;Gennemsnitlig slagvolumen (cm3);2005M12;1691,0
I husholdningerne;Large;Ny registrerede biler (antal);2005M12;845,0
I husholdningerne;Large;Købspris (mio. kr);2005M12;289,9
I husholdningerne;Large;Gennemsnitlig købspris (kr.);2005M12;343064,0
I husholdningerne;Large;Gennemsnitlig motoreffekt (kW);2005M12;102,0
I husholdningerne;Large;Gennemsnitlig km pr liter (liter);2005M12;14,1
I husholdningerne;Large;Gennemsnitlig slagvolumen (cm3);2005M12;1972,0
I husholdningerne;Executive;Ny registrerede biler (antal);2005M12;95,0
I husholdningerne;Executive;Købspris (mio. kr);2005M12;56,7
I husholdningerne;Executive;Gennemsnitlig købspris (kr.);2005M12;596510,0
I husholdningerne;Executive;Gennemsnitlig motoreffekt (kW);2005M12;137,0
I husholdningerne;Executive;Gennemsnitlig km pr liter (liter);2005M12;11,5
I husholdningerne;Executive;Gennemsnitlig slagvolumen (cm3);2005M12;2539,0
I husholdningerne;Luxury;Ny registrerede biler (antal);2005M12;6,0
I husholdningerne;Luxury;Købspris (mio. kr);2005M12;4,3
I husholdningerne;Luxury;Gennemsnitlig købspris (kr.);2005M12;717960,0
I husholdningerne;Luxury;Gennemsnitlig motoreffekt (kW);2005M12;278,0
I husholdningerne;Luxury;Gennemsnitlig km pr liter (liter);2005M12;8,6
I husholdningerne;Luxury;Gennemsnitlig slagvolumen (cm3);2005M12;5085,0
I husholdningerne;Sport;Ny registrerede biler (antal);2005M12;6,0
I husholdningerne;Sport;Købspris (mio. kr);2005M12;3,3
I husholdningerne;Sport;Gennemsnitlig købspris (kr.);2005M12;548453,0
I husholdningerne;Sport;Gennemsnitlig motoreffekt (kW);2005M12;200,0
I husholdningerne;Sport;Gennemsnitlig km pr liter (liter);2005M12;10,3
I husholdningerne;Sport;Gennemsnitlig slagvolumen (cm3);2005M12;3060,0
I husholdningerne;Small MPV;Ny registrerede biler (antal);2005M12;401,0
I husholdningerne;Small MPV;Købspris (mio. kr);2005M12;89,5
I husholdningerne;Small MPV;Gennemsnitlig købspris (kr.);2005M12;223167,0
I husholdningerne;Small MPV;Gennemsnitlig motoreffekt (kW);2005M12;75,0
I husholdningerne;Small MPV;Gennemsnitlig km pr liter (liter);2005M12;15,0
I husholdningerne;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M12;1614,0
I husholdningerne;Large MPV;Ny registrerede biler (antal);2005M12;263,0
I husholdningerne;Large MPV;Købspris (mio. kr);2005M12;90,4
I husholdningerne;Large MPV;Gennemsnitlig købspris (kr.);2005M12;343811,0
I husholdningerne;Large MPV;Gennemsnitlig motoreffekt (kW);2005M12;94,0
I husholdningerne;Large MPV;Gennemsnitlig km pr liter (liter);2005M12;13,6
I husholdningerne;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M12;2006,0
I erhvervene;I alt;Ny registrerede biler (antal);2005M12;8291,0
I erhvervene;I alt;Købspris (mio. kr);2005M12;2796,5
I erhvervene;I alt;Gennemsnitlig købspris (kr.);2005M12;337294,0
I erhvervene;I alt;Gennemsnitlig motoreffekt (kW);2005M12;97,0
I erhvervene;I alt;Gennemsnitlig km pr liter (liter);2005M12;14,2
I erhvervene;I alt;Gennemsnitlig slagvolumen (cm3);2005M12;1921,0
I erhvervene;Mini;Ny registrerede biler (antal);2005M12;216,0
I erhvervene;Mini;Købspris (mio. kr);2005M12;28,0
I erhvervene;Mini;Gennemsnitlig købspris (kr.);2005M12;129578,0
I erhvervene;Mini;Gennemsnitlig motoreffekt (kW);2005M12;52,0
I erhvervene;Mini;Gennemsnitlig km pr liter (liter);2005M12;19,1
I erhvervene;Mini;Gennemsnitlig slagvolumen (cm3);2005M12;1194,0
I erhvervene;Small SUV;Ny registrerede biler (antal);2005M12;93,0
I erhvervene;Small SUV;Købspris (mio. kr);2005M12;23,8
I erhvervene;Small SUV;Gennemsnitlig købspris (kr.);2005M12;256246,0
I erhvervene;Small SUV;Gennemsnitlig motoreffekt (kW);2005M12;96,0
I erhvervene;Small SUV;Gennemsnitlig km pr liter (liter);2005M12;11,4
I erhvervene;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M12;1915,0
I erhvervene;Medium SUV;Ny registrerede biler (antal);2005M12;44,0
I erhvervene;Medium SUV;Købspris (mio. kr);2005M12;18,6
I erhvervene;Medium SUV;Gennemsnitlig købspris (kr.);2005M12;422832,0
I erhvervene;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M12;116,0
I erhvervene;Medium SUV;Gennemsnitlig km pr liter (liter);2005M12;10,9
I erhvervene;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M12;2094,0
I erhvervene;Large SUV;Ny registrerede biler (antal);2005M12;88,0
I erhvervene;Large SUV;Købspris (mio. kr);2005M12;74,9
I erhvervene;Large SUV;Gennemsnitlig købspris (kr.);2005M12;851586,0
I erhvervene;Large SUV;Gennemsnitlig motoreffekt (kW);2005M12;134,0
I erhvervene;Large SUV;Gennemsnitlig km pr liter (liter);2005M12;10,3
I erhvervene;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M12;2914,0
I erhvervene;Andre bilsegmenter;Ny registrerede biler (antal);2005M12;1,0
I erhvervene;Andre bilsegmenter;Købspris (mio. kr);2005M12;0,9
I erhvervene;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M12;909361,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M12;140,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M12;9,8
I erhvervene;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M12;2720,0
I erhvervene;Uoplyst;Ny registrerede biler (antal);2005M12;185,0
I erhvervene;Uoplyst;Købspris (mio. kr);2005M12;118,6
I erhvervene;Uoplyst;Gennemsnitlig købspris (kr.);2005M12;641267,0
I erhvervene;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M12;95,0
I erhvervene;Uoplyst;Gennemsnitlig km pr liter (liter);2005M12;11,1
I erhvervene;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M12;2204,0
I erhvervene;Small;Ny registrerede biler (antal);2005M12;735,0
I erhvervene;Small;Købspris (mio. kr);2005M12;108,6
I erhvervene;Small;Gennemsnitlig købspris (kr.);2005M12;147812,0
I erhvervene;Small;Gennemsnitlig motoreffekt (kW);2005M12;57,0
I erhvervene;Small;Gennemsnitlig km pr liter (liter);2005M12;17,1
I erhvervene;Small;Gennemsnitlig slagvolumen (cm3);2005M12;1335,0
I erhvervene;Medium;Ny registrerede biler (antal);2005M12;1514,0
I erhvervene;Medium;Købspris (mio. kr);2005M12;408,8
I erhvervene;Medium;Gennemsnitlig købspris (kr.);2005M12;270028,0
I erhvervene;Medium;Gennemsnitlig motoreffekt (kW);2005M12;85,0
I erhvervene;Medium;Gennemsnitlig km pr liter (liter);2005M12;15,8
I erhvervene;Medium;Gennemsnitlig slagvolumen (cm3);2005M12;1753,0
I erhvervene;Large;Ny registrerede biler (antal);2005M12;4159,0
I erhvervene;Large;Købspris (mio. kr);2005M12;1440,8
I erhvervene;Large;Gennemsnitlig købspris (kr.);2005M12;346437,0
I erhvervene;Large;Gennemsnitlig motoreffekt (kW);2005M12;105,0
I erhvervene;Large;Gennemsnitlig km pr liter (liter);2005M12;13,7
I erhvervene;Large;Gennemsnitlig slagvolumen (cm3);2005M12;2019,0
I erhvervene;Executive;Ny registrerede biler (antal);2005M12;428,0
I erhvervene;Executive;Købspris (mio. kr);2005M12;277,8
I erhvervene;Executive;Gennemsnitlig købspris (kr.);2005M12;649111,0
I erhvervene;Executive;Gennemsnitlig motoreffekt (kW);2005M12;144,0
I erhvervene;Executive;Gennemsnitlig km pr liter (liter);2005M12;10,9
I erhvervene;Executive;Gennemsnitlig slagvolumen (cm3);2005M12;2555,0
I erhvervene;Luxury;Ny registrerede biler (antal);2005M12;13,0
I erhvervene;Luxury;Købspris (mio. kr);2005M12;24,7
I erhvervene;Luxury;Gennemsnitlig købspris (kr.);2005M12;1898293,0
I erhvervene;Luxury;Gennemsnitlig motoreffekt (kW);2005M12;263,0
I erhvervene;Luxury;Gennemsnitlig km pr liter (liter);2005M12;8,6
I erhvervene;Luxury;Gennemsnitlig slagvolumen (cm3);2005M12;4684,0
I erhvervene;Sport;Ny registrerede biler (antal);2005M12;9,0
I erhvervene;Sport;Købspris (mio. kr);2005M12;10,5
I erhvervene;Sport;Gennemsnitlig købspris (kr.);2005M12;1164059,0
I erhvervene;Sport;Gennemsnitlig motoreffekt (kW);2005M12;276,0
I erhvervene;Sport;Gennemsnitlig km pr liter (liter);2005M12;8,3
I erhvervene;Sport;Gennemsnitlig slagvolumen (cm3);2005M12;3867,0
I erhvervene;Small MPV;Ny registrerede biler (antal);2005M12;261,0
I erhvervene;Small MPV;Købspris (mio. kr);2005M12;68,4
I erhvervene;Small MPV;Gennemsnitlig købspris (kr.);2005M12;261951,0
I erhvervene;Small MPV;Gennemsnitlig motoreffekt (kW);2005M12;82,0
I erhvervene;Small MPV;Gennemsnitlig km pr liter (liter);2005M12;14,9
I erhvervene;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M12;1701,0
I erhvervene;Large MPV;Ny registrerede biler (antal);2005M12;545,0
I erhvervene;Large MPV;Købspris (mio. kr);2005M12;192,0
I erhvervene;Large MPV;Gennemsnitlig købspris (kr.);2005M12;352215,0
I erhvervene;Large MPV;Gennemsnitlig motoreffekt (kW);2005M12;101,0
I erhvervene;Large MPV;Gennemsnitlig km pr liter (liter);2005M12;13,0
I erhvervene;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M12;2019,0
I alt;I alt;Ny registrerede biler (antal);2006M01;11298,0
I alt;I alt;Købspris (mio. kr);2006M01;2841,4
I alt;I alt;Gennemsnitlig købspris (kr.);2006M01;251521,0
I alt;I alt;Gennemsnitlig motoreffekt (kW);2006M01;79,0
I alt;I alt;Gennemsnitlig km pr liter (liter);2006M01;15,6
I alt;I alt;Gennemsnitlig slagvolumen (cm3);2006M01;1646,0
I alt;Mini;Ny registrerede biler (antal);2006M01;1115,0
I alt;Mini;Købspris (mio. kr);2006M01;127,4
I alt;Mini;Gennemsnitlig købspris (kr.);2006M01;114252,0
I alt;Mini;Gennemsnitlig motoreffekt (kW);2006M01;48,0
I alt;Mini;Gennemsnitlig km pr liter (liter);2006M01;19,1
I alt;Mini;Gennemsnitlig slagvolumen (cm3);2006M01;1141,0
I alt;Small SUV;Ny registrerede biler (antal);2006M01;285,0
I alt;Small SUV;Købspris (mio. kr);2006M01;76,9
I alt;Small SUV;Gennemsnitlig købspris (kr.);2006M01;269715,0
I alt;Small SUV;Gennemsnitlig motoreffekt (kW);2006M01;94,0
I alt;Small SUV;Gennemsnitlig km pr liter (liter);2006M01;11,6
I alt;Small SUV;Gennemsnitlig slagvolumen (cm3);2006M01;1865,0
I alt;Medium SUV;Ny registrerede biler (antal);2006M01;45,0
I alt;Medium SUV;Købspris (mio. kr);2006M01;16,9
I alt;Medium SUV;Gennemsnitlig købspris (kr.);2006M01;375229,0
I alt;Medium SUV;Gennemsnitlig motoreffekt (kW);2006M01;112,0
I alt;Medium SUV;Gennemsnitlig km pr liter (liter);2006M01;11,5
I alt;Medium SUV;Gennemsnitlig slagvolumen (cm3);2006M01;2104,0
I alt;Large SUV;Ny registrerede biler (antal);2006M01;106,0
I alt;Large SUV;Købspris (mio. kr);2006M01;90,2
I alt;Large SUV;Gennemsnitlig købspris (kr.);2006M01;850996,0
I alt;Large SUV;Gennemsnitlig motoreffekt (kW);2006M01;129,0
I alt;Large SUV;Gennemsnitlig km pr liter (liter);2006M01;10,5
I alt;Large SUV;Gennemsnitlig slagvolumen (cm3);2006M01;2907,0
I alt;Andre bilsegmenter;Ny registrerede biler (antal);2006M01;0,0
I alt;Andre bilsegmenter;Købspris (mio. kr);2006M01;0,0
I alt;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2006M01;0,0
I alt;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2006M01;0,0
I alt;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2006M01;0,0
I alt;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2006M01;0,0
I alt;Uoplyst;Ny registrerede biler (antal);2006M01;222,0
I alt;Uoplyst;Købspris (mio. kr);2006M01;141,2
I alt;Uoplyst;Gennemsnitlig købspris (kr.);2006M01;635953,0
I alt;Uoplyst;Gennemsnitlig motoreffekt (kW);2006M01;92,0
I alt;Uoplyst;Gennemsnitlig km pr liter (liter);2006M01;11,4
I alt;Uoplyst;Gennemsnitlig slagvolumen (cm3);2006M01;2153,0
I alt;Small;Ny registrerede biler (antal);2006M01;3395,0
I alt;Small;Købspris (mio. kr);2006M01;518,5
I alt;Small;Gennemsnitlig købspris (kr.);2006M01;152727,0
I alt;Small;Gennemsnitlig motoreffekt (kW);2006M01;61,0
I alt;Small;Gennemsnitlig km pr liter (liter);2006M01;17,1
I alt;Small;Gennemsnitlig slagvolumen (cm3);2006M01;1361,0
I alt;Medium;Ny registrerede biler (antal);2006M01;2284,0
I alt;Medium;Købspris (mio. kr);2006M01;561,8
I alt;Medium;Gennemsnitlig købspris (kr.);2006M01;245955,0
I alt;Medium;Gennemsnitlig motoreffekt (kW);2006M01;82,0
I alt;Medium;Gennemsnitlig km pr liter (liter);2006M01;15,6
I alt;Medium;Gennemsnitlig slagvolumen (cm3);2006M01;1677,0
I alt;Large;Ny registrerede biler (antal);2006M01;2335,0
I alt;Large;Købspris (mio. kr);2006M01;795,3
I alt;Large;Gennemsnitlig købspris (kr.);2006M01;340759,0
I alt;Large;Gennemsnitlig motoreffekt (kW);2006M01;100,0
I alt;Large;Gennemsnitlig km pr liter (liter);2006M01;14,1
I alt;Large;Gennemsnitlig slagvolumen (cm3);2006M01;1943,0
I alt;Executive;Ny registrerede biler (antal);2006M01;225,0
I alt;Executive;Købspris (mio. kr);2006M01;148,0
I alt;Executive;Gennemsnitlig købspris (kr.);2006M01;657960,0
I alt;Executive;Gennemsnitlig motoreffekt (kW);2006M01;143,0
I alt;Executive;Gennemsnitlig km pr liter (liter);2006M01;11,6
I alt;Executive;Gennemsnitlig slagvolumen (cm3);2006M01;2670,0
I alt;Luxury;Ny registrerede biler (antal);2006M01;13,0
I alt;Luxury;Købspris (mio. kr);2006M01;10,3
I alt;Luxury;Gennemsnitlig købspris (kr.);2006M01;791539,0
I alt;Luxury;Gennemsnitlig motoreffekt (kW);2006M01;266,0
I alt;Luxury;Gennemsnitlig km pr liter (liter);2006M01;8,4
I alt;Luxury;Gennemsnitlig slagvolumen (cm3);2006M01;4712,0
I alt;Sport;Ny registrerede biler (antal);2006M01;12,0
I alt;Sport;Købspris (mio. kr);2006M01;11,1
I alt;Sport;Gennemsnitlig købspris (kr.);2006M01;922446,0
I alt;Sport;Gennemsnitlig motoreffekt (kW);2006M01;220,0
I alt;Sport;Gennemsnitlig km pr liter (liter);2006M01;8,8
I alt;Sport;Gennemsnitlig slagvolumen (cm3);2006M01;2974,0
I alt;Small MPV;Ny registrerede biler (antal);2006M01;812,0
I alt;Small MPV;Købspris (mio. kr);2006M01;189,4
I alt;Small MPV;Gennemsnitlig købspris (kr.);2006M01;233222,0
I alt;Small MPV;Gennemsnitlig motoreffekt (kW);2006M01;78,0
I alt;Small MPV;Gennemsnitlig km pr liter (liter);2006M01;14,8
I alt;Small MPV;Gennemsnitlig slagvolumen (cm3);2006M01;1646,0
I alt;Large MPV;Ny registrerede biler (antal);2006M01;449,0
I alt;Large MPV;Købspris (mio. kr);2006M01;154,5
I alt;Large MPV;Gennemsnitlig købspris (kr.);2006M01;344148,0
I alt;Large MPV;Gennemsnitlig motoreffekt (kW);2006M01;94,0
I alt;Large MPV;Gennemsnitlig km pr liter (liter);2006M01;13,6
I alt;Large MPV;Gennemsnitlig slagvolumen (cm3);2006M01;2037,0
I husholdningerne;I alt;Ny registrerede biler (antal);2006M01;7881,0
I husholdningerne;I alt;Købspris (mio. kr);2006M01;1854,5
I husholdningerne;I alt;Gennemsnitlig købspris (kr.);2006M01;235337,0
I husholdningerne;I alt;Gennemsnitlig motoreffekt (kW);2006M01;76,0
I husholdningerne;I alt;Gennemsnitlig km pr liter (liter);2006M01;15,6
I husholdningerne;I alt;Gennemsnitlig slagvolumen (cm3);2006M01;1609,0
I husholdningerne;Mini;Ny registrerede biler (antal);2006M01;851,0
I husholdningerne;Mini;Købspris (mio. kr);2006M01;98,5
I husholdningerne;Mini;Gennemsnitlig købspris (kr.);2006M01;115791,0
I husholdningerne;Mini;Gennemsnitlig motoreffekt (kW);2006M01;48,0
I husholdningerne;Mini;Gennemsnitlig km pr liter (liter);2006M01;18,5
I husholdningerne;Mini;Gennemsnitlig slagvolumen (cm3);2006M01;1151,0
I husholdningerne;Small SUV;Ny registrerede biler (antal);2006M01;234,0
I husholdningerne;Small SUV;Købspris (mio. kr);2006M01;63,6
I husholdningerne;Small SUV;Gennemsnitlig købspris (kr.);2006M01;271649,0
I husholdningerne;Small SUV;Gennemsnitlig motoreffekt (kW);2006M01;94,0
